Eclairement (w/m²),Eclairement (lux),Intensite (mA),Tension (mV),Etat
1000,249000,8585,32000,Normale
950,236550,8090,32200,Normale
900,224100,7662,32200,Normale
850,211650,7226,32200,Normale
800,199200,6866,31850,Normale
750,186750,6427,31850,Normale
700,174300,5988,31850,Normale
650,161850,5549,31850,Normale
600,149400,5109,31850,Normale
550,136950,4722,31500,Normale
500,124500,4280,31500,Normale
1000,249000,8293,20300, Diode
950,236550,7864,20300, Diode
900,224100,7435,20300, Diode
850,211650,7005,20300, Diode
800,199200,6694,19950, Diode
750,186750,6260,19950, Diode
700,174300,5826,19950, Diode
650,161850,5391,19950, Diode
600,149400,4956,19950, Diode
550,136950,4603,19600, Diode
500,124500,4165,19600, Diode
1000,249000,8203,17500, Diode
950,236550,7776,17500, Diode
900,224100,7350,17500, Diode
850,211650,6922,17500, Diode
800,199200,6629,17150, Diode
750,186750,6197,17150, Diode
700,174300,5764,17150, Diode
650,161850,5331,17150, Diode
600,149400,4898,17150, Diode
550,136950,4558,16800, Diode
500,124500,4121,16800, Diode
1000,249000,6712,32200,Érosion
950,236550,6368,32200,Érosion
900,224100,6025,32200,Érosion
850,211650,5681,32200,Érosion
800,199200,5337,32200,Érosion
750,186750,4993,32200,Érosion
700,174300,4701,31850,Érosion
650,161850,4356,31850,Érosion
600,149400,4010,31850,Érosion
550,136950,3665,31850,Érosion
500,124500,3357,31500,Érosion
1000,249000,5240,32550,Érosion
950,236550,4970,32550,Érosion
900,224100,4752,32200,Érosion
850,211650,4480,32200,Érosion
800,199200,4209,32200,Érosion
750,186750,3937,32200,Érosion
700,174300,3665,32200,Érosion
650,161850,3432,31850,Érosion
600,149400,3159,31850,Érosion
550,136950,2887,31850,Érosion
500,124500,2614,31850,Érosion
